epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,20098.4,1.52348,1.17992,1.33358,0.5568,0.46633,0.45867,0.27618,1.68093,1.48299,1.52319,0.007162,0.007162,0.007162
88,20300.8,1.51985,1.18038,1.33573,0.54243,0.4723,0.45913,0.27658,1.68114,1.48197,1.52332,0.007129,0.007129,0.007129
89,20500.7,1.52537,1.17157,1.32763,0.54673,0.47733,0.45934,0.27586,1.68193,1.48054,1.52404,0.007096,0.007096,0.007096
90,20664.4,1.51112,1.16344,1.32634,0.55131,0.47791,0.45987,0.2755,1.68335,1.48024,1.52496,0.007063,0.007063,0.007063
91,20987.3,1.51657,1.1706,1.33495,0.55213,0.47244,0.45965,0.27633,1.68408,1.48135,1.52553,0.00703,0.00703,0.00703
92,21141.8,1.51423,1.16281,1.32305,0.54781,0.47537,0.45983,0.2759,1.68439,1.48076,1.52579,0.006997,0.006997,0.006997
93,21304,1.51142,1.15408,1.32889,0.54839,0.47799,0.45809,0.27427,1.68423,1.48045,1.52608,0.006964,0.006964,0.006964
94,21460.2,1.51471,1.16399,1.32901,0.54559,0.47873,0.4578,0.27437,1.68346,1.48002,1.52579,0.006931,0.006931,0.006931
95,21815.2,1.50631,1.14046,1.31737,0.54363,0.47876,0.45812,0.275,1.68412,1.48036,1.52641,0.006898,0.006898,0.006898
96,22025.9,1.49969,1.14108,1.31804,0.5417,0.47527,0.45624,0.2741,1.68425,1.48083,1.52698,0.006865,0.006865,0.006865
97,22185.7,1.50528,1.1447,1.3265,0.54645,0.47383,0.45722,0.27517,1.6836,1.48095,1.52688,0.006832,0.006832,0.006832
98,22401,1.49275,1.12443,1.31328,0.54743,0.47347,0.45764,0.27493,1.68428,1.48147,1.52797,0.006799,0.006799,0.006799
99,22557.8,1.50143,1.13128,1.31258,0.55082,0.46981,0.45662,0.27424,1.68395,1.48089,1.52787,0.006766,0.006766,0.006766
100,22714.1,1.48473,1.11156,1.30987,0.55297,0.4668,0.45667,0.2746,1.6833,1.47992,1.52736,0.006733,0.006733,0.006733
101,22874.9,1.49043,1.12985,1.31088,0.55678,0.46532,0.45807,0.27534,1.68219,1.47982,1.52708,0.0067,0.0067,0.0067
102,23023.1,1.48395,1.11794,1.3132,0.5559,0.46575,0.45843,0.27553,1.68258,1.4798,1.52756,0.006667,0.006667,0.006667
103,23176.1,1.49321,1.12814,1.31271,0.55426,0.46672,0.45826,0.27536,1.68333,1.47921,1.52813,0.006634,0.006634,0.006634
104,23347.1,1.48672,1.11069,1.30104,0.55022,0.4683,0.45846,0.27526,1.68351,1.47942,1.52833,0.006601,0.006601,0.006601
105,23641.5,1.47875,1.10889,1.30795,0.53271,0.4691,0.45887,0.27598,1.68411,1.47904,1.52863,0.006568,0.006568,0.006568
106,23798.5,1.47484,1.09481,1.29979,0.52734,0.46968,0.45893,0.27647,1.68497,1.47922,1.52947,0.006535,0.006535,0.006535
