epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
151,13979.1,1.65466,1.42017,1.38942,0.57222,0.45371,0.449,0.26527,1.71538,1.5994,1.50412,0.00505,0.00505,0.00505
152,14076.2,1.65081,1.40794,1.38841,0.573,0.4516,0.44966,0.26556,1.71545,1.59934,1.50393,0.005017,0.005017,0.005017
153,14172.6,1.64477,1.40662,1.39486,0.57197,0.4529,0.45066,0.26611,1.71556,1.59834,1.50367,0.004984,0.004984,0.004984
154,14267.7,1.65665,1.40325,1.39054,0.57032,0.45352,0.45103,0.2661,1.71678,1.59807,1.50398,0.004951,0.004951,0.004951
155,14364.5,1.65483,1.41767,1.39274,0.57001,0.45309,0.45162,0.2667,1.71673,1.59717,1.50403,0.004918,0.004918,0.004918
156,14460.8,1.64576,1.40262,1.39298,0.56923,0.45374,0.45214,0.26673,1.71636,1.5967,1.50366,0.004885,0.004885,0.004885
157,14557.5,1.65197,1.40122,1.39344,0.56873,0.45393,0.45193,0.26739,1.71642,1.5967,1.50336,0.004852,0.004852,0.004852
158,14653.7,1.6465,1.39492,1.38645,0.54921,0.45864,0.45249,0.2674,1.71617,1.59586,1.5031,0.004819,0.004819,0.004819
159,14749.7,1.6449,1.40327,1.38976,0.55081,0.45806,0.45358,0.26772,1.71625,1.59566,1.50287,0.004786,0.004786,0.004786
160,14845.8,1.65205,1.39814,1.39014,0.55189,0.45867,0.45356,0.26765,1.71553,1.59452,1.50236,0.004753,0.004753,0.004753
161,14939.5,1.64027,1.39074,1.38707,0.55328,0.45855,0.45416,0.26812,1.71448,1.59398,1.50187,0.00472,0.00472,0.00472
162,15034.8,1.64416,1.38705,1.38736,0.55409,0.4594,0.45482,0.26839,1.71433,1.59297,1.50171,0.004687,0.004687,0.004687
163,15133.6,1.63532,1.36701,1.3732,0.55434,0.45865,0.45498,0.26853,1.71399,1.59267,1.50142,0.004654,0.004654,0.004654
164,15230.4,1.63702,1.39165,1.38727,0.55322,0.46243,0.45481,0.26848,1.71295,1.59202,1.50072,0.004621,0.004621,0.004621
165,15327.6,1.64348,1.38372,1.38395,0.55477,0.46388,0.45551,0.26889,1.71263,1.59093,1.50039,0.004588,0.004588,0.004588
166,15424.3,1.64212,1.38391,1.3797,0.55713,0.46408,0.4558,0.26931,1.71176,1.59012,1.50006,0.004555,0.004555,0.004555
167,15523.6,1.63532,1.38503,1.38218,0.55712,0.46491,0.45629,0.26968,1.71179,1.5895,1.49992,0.004522,0.004522,0.004522
168,15622.5,1.63942,1.37875,1.37921,0.55764,0.46472,0.45679,0.27014,1.71136,1.5893,1.49961,0.004489,0.004489,0.004489
169,15721.1,1.64195,1.37181,1.37925,0.55879,0.46561,0.45738,0.27074,1.71123,1.58837,1.49927,0.004456,0.004456,0.004456
170,15820.6,1.6268,1.37159,1.37649,0.55809,0.46617,0.45674,0.27077,1.71157,1.58794,1.49905,0.004423,0.004423,0.004423
171,15921.4,1.63532,1.3741,1.3803,0.55818,0.46627,0.4572,0.27113,1.71135,1.5872,1.49876,0.00439,0.00439,0.00439
172,16022.4,1.635,1.38554,1.38721,0.55971,0.46704,0.45694,0.27132,1.71106,1.58618,1.49854,0.004357,0.004357,0.004357
173,16124.3,1.61863,1.35686,1.37112,0.55976,0.46685,0.45739,0.27177,1.71039,1.58553,1.498,0.004324,0.004324,0.004324
174,16225.3,1.63308,1.37095,1.37852,0.55757,0.4699,0.45792,0.27183,1.71061,1.58424,1.49794,0.004291,0.004291,0.004291
175,16325.5,1.62392,1.36404,1.37418,0.55589,0.47015,0.45816,0.27175,1.71085,1.58378,1.49768,0.004258,0.004258,0.004258
176,16429.5,1.63578,1.36441,1.37553,0.5568,0.47056,0.4579,0.27141,1.71074,1.58312,1.49758,0.004225,0.004225,0.004225
177,16529.1,1.6255,1.36849,1.37367,0.55459,0.47205,0.45824,0.27159,1.71026,1.58277,1.49739,0.004192,0.004192,0.004192
178,16628.6,1.63227,1.35981,1.37492,0.55256,0.47191,0.45824,0.27166,1.71044,1.58242,1.49724,0.004159,0.004159,0.004159
179,16726.4,1.6272,1.35375,1.37628,0.55295,0.47261,0.45865,0.27174,1.71011,1.5816,1.49698,0.004126,0.004126,0.004126
180,16824.2,1.62268,1.34716,1.36877,0.55095,0.4754,0.45886,0.27209,1.70979,1.58109,1.49659,0.004093,0.004093,0.004093
181,16925.7,1.62706,1.35783,1.37235,0.54996,0.47755,0.45806,0.27134,1.70951,1.58037,1.49614,0.00406,0.00406,0.00406
182,17025,1.62954,1.362,1.37393,0.55254,0.47517,0.45867,0.27189,1.7088,1.5794,1.49565,0.004027,0.004027,0.004027
183,17124.3,1.61945,1.35265,1.37425,0.55368,0.47584,0.45911,0.27228,1.70799,1.57857,1.49504,0.003994,0.003994,0.003994
184,17222.1,1.61897,1.34794,1.37079,0.55552,0.47581,0.46026,0.27282,1.70851,1.57826,1.49492,0.003961,0.003961,0.003961
185,17328,1.6283,1.35972,1.36663,0.55591,0.47434,0.46031,0.27303,1.70834,1.57743,1.49471,0.003928,0.003928,0.003928
186,17427.3,1.6189,1.34979,1.37149,0.55569,0.47466,0.46022,0.27278,1.70853,1.5771,1.49461,0.003895,0.003895,0.003895
187,17527.7,1.61998,1.34041,1.36932,0.5533,0.4746,0.46069,0.27298,1.70872,1.57636,1.49445,0.003862,0.003862,0.003862
188,17628.1,1.6226,1.35135,1.36887,0.55528,0.47266,0.46067,0.27311,1.70924,1.5758,1.4946,0.003829,0.003829,0.003829
